word,gender,idf,meanfreq,has_a,has_e,has_i,has_o,has_u,has_y
"cubiculum1","n","1.71802403051275","5.2898550724637685",0,0,1,0,1,0
"cubile1","n","1.46899648267283","3.451219512195122",0,1,1,0,1,0
"cubitum1","n","2.21183864317571","2.224489795918366",0,0,1,0,1,0
"culina1","f","3.36711686865362","2.4545454545454546",1,0,1,0,1,0
"culpa1","f","0.39192025965419","4.459537572254336",1,0,0,0,1,0
"cultrix1","f","5.24158598656976","2.3333333333333335",0,0,1,0,1,0
"cultus2","m","0.646639397275981","2.6758620689655155",0,0,0,0,1,0
"cuminum1","n","4.82654848729092","9.875",0,0,1,0,1,0
"cunabula1","n","3.43423106451216","1.2857142857142858",1,0,0,0,1,0
"cupido1","m","1.08508150088977","2.1791277258566955",0,0,1,1,1,0
"Cupido2","f","1.08508150088977","2.1791277258566955",0,0,1,1,1,0
"cupressus1","f","2.9196578916824","2.466666666666667",0,1,0,0,1,0
"cura1","f","0.204496667834539","13.949238578680204",1,0,0,0,1,0
"curatio1","f","1.69726547034595","10.371428571428572",1,0,1,1,1,0
"curia1","f","1.09862803272772","8.358490566037736",1,0,1,0,1,0
"currus1","m","0.95618376770751","6.47008547008547",0,0,0,0,1,0
"cursus1","m","0.408695972405017","4.777777777777778",0,0,0,0,1,0
"custodia1","f","0.87235217690404","5.556451612903226",1,0,1,1,1,0
"cutis1","f","1.99365847312617","15.192982456140351",0,0,1,0,1,0
"cyparissus1","f","4.82654848729092","1.5",1,0,1,0,1,1
"cytisus1","f","4.36711686865362","4.181818181818182",0,0,1,0,1,1
"damma1","f","3.6566234858486","2.2222222222222223",1,0,0,0,0,0
"damnum1","n","0.771266051789726","3.274436090225564",1,0,0,0,1,0
"daps1","f","2.07166098512745","3.8703703703703702",1,0,0,0,0,0
"dea1","f","0.749732890240084","6.649382716049388",1,1,0,0,0,0
